order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_recommendation,one_year_target_price,half_year_recommendation
000729.XSHE,2006-01-04,国信证券,7.3810,,3,1,2024-07-24 17:40:27,2006-01-05 16:29:38,3.0,,,,
000729.XSHE,2006-01-10,兴业证券,8.9700,,2,3,2024-07-24 17:41:39,2006-01-12 18:17:40,3.0,,2.0,,
000729.XSHE,2006-01-18,中金公司,7.5020,,3,1,2024-07-24 17:40:48,2006-01-18 16:29:25,3.0,,,,
000729.XSHE,2006-02-05,国泰海通证券,9.2170,,2,1,2024-07-24 17:41:49,2006-02-07 11:32:36,2.0,,,,
000729.XSHE,2006-02-07,中信证券,9.6460,,2,1,2024-07-24 17:41:02,2006-02-08 15:35:22,2.0,,,,
000729.XSHE,2006-02-17,申万宏源,8.1400,,3,1,2024-07-24 17:41:50,2006-02-17 17:50:47,3.0,,,,
000729.XSHE,2006-02-22,招商证券,,,3,1,2024-07-24 17:39:46,2006-02-22 18:17:35,3.0,,,,
000729.XSHE,2006-02-22,光大证券,,,3,1,2024-07-24 17:39:54,2006-02-25 12:53:09,3.0,,,,
000729.XSHE,2006-03-01,华泰联合,,,2,1,2024-07-24 17:40:52,2006-03-01 17:50:40,2.0,,3.0,,
000729.XSHE,2006-03-06,中信证券,,,2,1,2024-07-24 17:39:35,2006-03-08 18:17:37,2.0,,,,
000729.XSHE,2006-03-23,华泰证券,,,2,1,2024-07-24 17:40:43,2006-03-27 18:19:56,2.0,,,,
000729.XSHE,2006-03-23,国泰海通证券,,,2,1,2024-07-24 17:41:46,2006-03-24 14:41:37,2.0,,,,
000729.XSHE,2006-03-27,光大证券,,,3,1,2024-07-24 17:40:07,2006-03-28 17:23:10,3.0,,,,
000729.XSHE,2006-04-10,长江证券,,,2,1,2024-07-24 17:39:29,2006-04-19 17:50:41,2.0,,,,
000729.XSHE,2006-04-11,中银国际证券,8.0800,M06,2,1,2024-07-24 04:19:04,2006-04-12 16:02:21,2.0,8.08,,,
000729.XSHE,2006-04-11,国信证券,8.2800,M06,3,1,2024-07-24 04:19:15,2006-04-11 16:29:09,3.0,8.28,,,
000729.XSHE,2006-04-11,中金公司,,,3,1,2024-07-24 17:42:12,2006-04-11 17:23:10,3.0,,,,
000729.XSHE,2006-04-13,兴业证券,,,2,1,2024-07-24 17:40:23,2006-04-13 15:08:17,2.0,,2.0,,
000729.XSHE,2006-04-17,招商证券,,,3,1,2024-07-24 17:40:29,2006-04-17 15:08:24,3.0,,,,
000729.XSHE,2006-04-19,世纪证券,,,3,1,2024-07-24 17:40:11,2006-04-21 15:08:22,3.0,,,,
000729.XSHE,2006-04-19,华泰证券,,,2,1,2024-07-24 17:40:19,2006-04-21 18:17:21,2.0,,,,
000729.XSHE,2006-04-21,光大证券,,,3,1,2024-07-24 17:40:24,2006-04-25 16:02:20,3.0,,,,
000729.XSHE,2006-04-21,国信证券,,,3,1,2024-07-24 17:42:11,2006-07-12 15:08:37,3.0,,,,
000729.XSHE,2006-05-08,申万宏源,,,2,1,2024-07-24 17:40:09,2006-05-09 17:50:33,2.0,,,,
000729.XSHE,2006-05-08,长江证券,,,2,1,2024-07-24 17:40:11,2006-05-10 17:50:39,2.0,,,,
000729.XSHE,2006-05-08,中银国际证券,8.1800,M06,2,1,2024-07-24 04:19:10,2006-05-09 11:05:35,2.0,8.18,,,
000729.XSHE,2006-05-12,中原证券,,,2,1,2024-07-24 17:39:33,2006-05-19 13:47:35,2.0,,,,
000729.XSHE,2006-05-15,平安证券,,,3,1,2024-07-24 17:41:42,2006-05-19 15:35:38,3.0,,,,
000729.XSHE,2006-05-19,国泰海通证券,,,2,1,2024-07-24 17:40:57,2006-05-19 15:35:38,2.0,,,,
000729.XSHE,2006-05-25,光大证券,,,3,1,2024-07-24 17:41:16,2006-05-29 17:50:26,3.0,,,,
000729.XSHE,2006-05-29,招商证券,,,3,1,2024-07-24 17:39:54,2006-05-29 17:50:26,3.0,,,,
000729.XSHE,2006-05-30,华泰联合,,,2,1,2024-07-24 17:41:25,2006-05-31 17:50:33,2.0,,,,
000729.XSHE,2006-06-09,UBS Warburg,7.5000,M06,3,1,2024-07-24 04:18:57,2006-06-09 14:41:26,3.0,7.5,,,
000729.XSHE,2006-06-12,招商证券,,,2,1,2024-07-24 17:41:16,2006-06-13 14:15:02,2.0,,,,
000729.XSHE,2006-06-14,中信建投,10.2000,M06,2,1,2024-07-24 04:18:29,2006-06-15 16:29:42,2.0,10.2,,,
000729.XSHE,2006-06-20,兴业证券,,,2,1,2024-07-24 17:39:30,2006-06-27 16:56:43,2.0,,,,
000729.XSHE,2006-06-21,华泰证券,,,2,1,2024-07-24 17:40:52,2006-06-27 16:56:43,2.0,,,,
000729.XSHE,2006-06-21,天相投顾,,,2,1,2024-07-24 17:41:03,2006-06-22 13:47:45,2.0,,,,
000729.XSHE,2006-06-30,光大证券,,,3,1,2024-07-24 17:40:12,2006-07-03 16:03:53,3.0,,,,
000729.XSHE,2006-07-03,天相投顾,,,2,1,2024-07-24 17:39:49,2006-07-03 17:23:13,2.0,,,,
000729.XSHE,2006-07-05,中原证券,,,3,1,2024-07-24 17:39:31,2006-07-11 15:35:41,3.0,,,,
000729.XSHE,2006-07-05,华泰联合,11.0000,M06,2,1,2024-07-24 04:18:53,2006-07-07 17:50:39,2.0,11.0,,,
000729.XSHE,2006-07-07,招商证券,,,2,1,2024-07-24 17:39:30,2006-07-10 16:56:27,2.0,,,,
000729.XSHE,2006-07-10,国泰海通证券,,,2,1,2024-07-24 17:40:54,2006-07-13 11:32:35,2.0,,,,
000729.XSHE,2006-07-11,长江证券,,,2,1,2024-07-24 17:40:14,2006-07-11 16:57:30,2.0,,,,
000729.XSHE,2006-07-13,招商证券,,,3,1,2024-07-24 17:41:21,2006-07-17 14:14:57,3.0,,,,
000729.XSHE,2006-07-13,华泰证券,,,2,1,2024-07-24 17:41:33,2006-07-17 16:29:29,2.0,,,,
000729.XSHE,2006-07-21,中信证券,,,3,1,2024-07-24 17:42:06,2006-07-28 10:11:29,3.0,,,,
000729.XSHE,2006-07-24,光大证券,,,3,1,2024-07-24 17:42:08,2006-07-28 16:02:36,3.0,,,,
000729.XSHE,2006-07-28,平安证券,,,3,1,2024-07-24 17:39:33,2006-08-01 16:29:26,3.0,,,,
000729.XSHE,2006-08-03,国元证券,,,3,1,2024-07-24 17:41:27,2006-11-24 17:40:43,3.0,,,,
000729.XSHE,2006-08-03,渤海证券,,,2,1,2024-07-24 17:41:49,2006-08-04 15:36:42,2.0,,,,
000729.XSHE,2006-08-07,中金公司,,,3,1,2024-07-24 17:39:32,2006-08-07 16:40:38,3.0,,,,
000729.XSHE,2006-08-22,中信证券,7.8000,M06,3,1,2024-07-24 04:18:44,2006-08-22 16:40:32,3.0,7.8,,,
000729.XSHE,2006-08-22,兴业证券,13.0000,M06,2,1,2024-07-24 04:18:45,2006-08-24 17:40:26,2.0,13.0,,,
000729.XSHE,2006-08-22,中金公司,,,3,1,2024-07-24 17:40:47,2006-08-22 16:40:32,3.0,,,,
000729.XSHE,2006-08-22,中银国际证券,8.1500,M06,2,1,2024-07-24 04:19:14,2006-08-23 11:10:28,2.0,8.15,,,
000729.XSHE,2006-08-25,天相投顾,11.5300,M06,1,1,2024-07-24 04:18:47,2006-08-25 15:40:55,1.0,11.53,,,
000729.XSHE,2006-08-30,光大证券,,,3,1,2024-07-24 17:40:55,2006-09-01 15:41:24,3.0,,,,
000729.XSHE,2006-08-31,天相投顾,,,2,1,2024-07-24 17:40:14,2006-08-31 15:10:26,2.0,,,,
000729.XSHE,2006-09-04,中原证券,,,2,1,2024-07-24 17:40:14,2006-09-07 17:40:56,2.0,,,,
000729.XSHE,2006-09-12,天相投顾,11.5300,M06,1,1,2024-07-24 04:18:52,2006-09-13 10:40:26,1.0,11.53,,,
000729.XSHE,2006-09-13,天相投顾,11.5300,M06,1,1,2024-07-24 04:18:44,2006-09-13 14:10:27,1.0,11.53,,,
000729.XSHE,2006-09-20,华泰证券,,,2,1,2024-07-24 17:41:33,2006-09-23 10:40:31,2.0,,,,
000729.XSHE,2006-09-21,民族证券,,,2,1,2024-07-24 17:39:45,2006-09-27 15:40:37,2.0,,,,
000729.XSHE,2006-09-26,光大证券,,,3,1,2024-07-24 17:39:53,2006-09-27 15:40:37,3.0,,,,
000729.XSHE,2006-09-27,上海证券,,,2,1,2024-07-24 17:41:25,2006-09-28 17:12:48,2.0,,,,
000729.XSHE,2006-09-28,中原证券,,,1,3,2024-07-24 17:40:06,2006-09-29 16:10:38,2.0,,1.0,,
000729.XSHE,2006-09-28,招商证券,,,3,1,2024-07-24 17:40:08,2006-09-29 17:12:04,3.0,,,,
