order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,half_year_target_price,quarter_recommendation,one_year_target_price,half_year_recommendation,one_year_recommendation
000661.XSHE,2006-12-19,兴业证券,,,2,1,2024-04-18 17:58:03,2006-12-22 15:10:39,,2.0,,,
000661.XSHE,2007-01-09,兴业证券,,,2,1,2024-04-18 17:58:02,2007-01-10 10:40:45,,2.0,,,
000661.XSHE,2007-01-10,兴业证券,,,2,1,2024-04-18 17:58:07,2007-01-15 11:10:57,,2.0,,,
000661.XSHE,2007-01-23,兴业证券,,,2,1,2024-04-18 17:58:05,2007-01-25 14:40:45,,2.0,,,
000661.XSHE,2007-01-23,申万宏源,12.3000,Y01,2,1,2024-04-18 04:32:00,2007-01-23 15:41:17,,2.0,12.3,,
000661.XSHE,2007-01-26,天相投顾,,,2,1,2024-04-18 17:58:12,2007-01-26 13:45:02,,2.0,,,
000661.XSHE,2007-01-29,长江证券,,,2,1,2024-04-18 17:58:09,2007-01-29 15:10:35,,2.0,,,
000661.XSHE,2007-01-29,兴业证券,,,2,1,2024-04-18 17:58:13,2007-01-29 15:41:09,,2.0,,,
000661.XSHE,2007-02-26,国信证券,14.0000,Y01,2,1,2024-04-18 04:31:59,2007-02-26 16:10:51,,2.0,14.0,,
000661.XSHE,2007-03-01,国信证券,,,2,1,2024-04-18 17:58:08,2007-03-01 16:10:36,,2.0,,,
000661.XSHE,2007-03-13,金元证券,,,2,1,2024-04-18 17:58:05,2007-03-14 16:12:34,,2.0,,,
000661.XSHE,2007-03-27,申万宏源,18.0000,M06,1,1,2024-04-18 04:31:57,2007-03-27 10:56:55,18.0,1.0,,,
000661.XSHE,2007-03-30,兴业证券,,,2,1,2024-04-18 17:58:07,2007-03-30 14:44:00,,2.0,,,
000661.XSHE,2007-04-26,申万宏源,23.0000,M06,1,1,2024-04-18 04:31:59,2007-04-26 16:56:06,23.0,1.0,,,
000661.XSHE,2007-04-30,国信证券,,,2,1,2024-04-18 17:58:08,2007-05-07 15:25:43,,2.0,,,
000661.XSHE,2007-05-14,申万宏源,29.0000,Y01,1,1,2024-04-18 04:31:57,2007-05-14 16:41:49,,1.0,29.0,,
000661.XSHE,2007-06-28,国信证券,,,2,1,2024-04-18 17:58:05,2007-06-29 10:55:39,,2.0,,,
000661.XSHE,2007-07-09,国信证券,,,2,1,2024-04-18 17:58:09,2007-07-09 15:10:21,,2.0,,,
000661.XSHE,2007-07-23,国信证券,,,2,1,2024-04-18 17:58:02,2007-07-23 14:40:57,,2.0,,,
000661.XSHE,2007-07-26,东北证券,,,2,1,2024-04-18 17:58:05,2007-07-27 14:25:57,,2.0,,,
000661.XSHE,2007-08-09,申万宏源,27.5000,M06,1,1,2024-04-18 04:31:59,2007-08-09 16:10:40,27.5,1.0,,,
000661.XSHE,2007-08-14,国信证券,25.5000,M06,2,1,2024-04-18 04:32:01,2007-08-15 17:55:54,25.5,2.0,,,
000661.XSHE,2007-08-15,国元证券,22.0000,M06,2,1,2024-04-18 04:31:56,2007-08-23 14:25:19,22.0,2.0,,,
000661.XSHE,2007-08-31,国信证券,25.5000,M06,2,1,2024-04-18 04:32:01,2007-08-31 17:41:19,25.5,2.0,,,
000661.XSHE,2007-09-14,国信证券,,,2,1,2024-04-18 17:58:01,2007-09-14 13:55:41,,2.0,,,
000661.XSHE,2007-10-15,国信证券,,,2,1,2024-04-18 17:58:04,2007-10-16 10:40:55,,2.0,,,
000661.XSHE,2007-10-23,国信证券,,,2,1,2024-04-18 17:58:08,2007-10-23 16:11:54,,2.0,,,
000661.XSHE,2007-12-11,金元证券,,,1,1,2024-04-18 17:58:02,2007-12-12 09:42:45,,1.0,,,
000661.XSHE,2007-12-27,国信证券,,,2,1,2024-04-18 17:58:13,2007-12-27 17:57:13,,2.0,,,
000661.XSHE,2008-01-23,国信证券,,,2,1,2024-04-18 17:58:07,2008-01-23 11:40:32,,2.0,,,
000661.XSHE,2008-02-13,国信证券,,,2,1,2024-04-18 17:58:08,2008-02-13 17:26:40,,2.0,,,
000661.XSHE,2008-03-21,国信证券,,,2,1,2024-04-18 17:58:14,2008-03-21 17:41:13,,2.0,,,
000661.XSHE,2008-03-24,金元证券,,,3,1,2024-04-18 17:58:11,2008-03-25 15:55:41,,3.0,,,
000661.XSHE,2008-03-27,国信证券,,,2,1,2024-04-18 17:58:03,2008-03-27 17:25:54,,2.0,,,
000661.XSHE,2008-04-25,国信证券,,,2,1,2024-04-18 17:58:11,2008-04-26 10:55:28,,2.0,,,
000661.XSHE,2008-05-16,国信证券,,,2,1,2024-04-18 17:58:14,2008-05-16 17:55:28,,2.0,,,
000661.XSHE,2009-01-20,海通证券,,,2,1,2024-04-18 17:58:14,2009-01-21 18:34:01,,2.0,,,
000661.XSHE,2009-03-17,招商证券,,,3,1,2024-04-18 17:58:07,2009-03-17 15:48:12,,3.0,,,
000661.XSHE,2009-04-13,海通证券,,,3,1,2024-04-18 17:58:06,2009-04-14 15:02:31,,3.0,,,
000661.XSHE,2009-05-12,东兴证券,,,2,1,2024-04-18 17:58:13,2009-05-12 14:49:13,,2.0,,,
000661.XSHE,2009-05-14,金元证券,,,3,1,2024-04-18 17:58:14,2009-05-15 17:18:17,,3.0,,,
000661.XSHE,2009-06-08,东兴证券,,,2,1,2024-04-18 17:58:08,2009-06-09 16:49:47,,2.0,,,
