order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_target_price,one_year_recommendation,half_year_recommendation
000651.XSHE,2006-01-04,国信证券,15.5550,,1,1,2025-05-15 17:14:58,2006-01-04 16:02:47,1.0,,,,
000651.XSHE,2006-01-05,申万宏源,17.1150,,1,1,2025-05-15 17:15:10,2006-01-05 16:29:38,1.0,,,,
000651.XSHE,2006-01-06,国信证券,18.0150,,1,1,2025-05-15 17:16:06,2006-01-06 16:57:35,1.0,,,,
000651.XSHE,2006-01-09,中信证券,13.1700,M06,2,1,2025-05-15 04:08:44,2006-01-11 13:20:12,2.0,13.17,,,
000651.XSHE,2006-01-10,中信证券,14.4300,M06,2,1,2025-05-15 04:08:46,2006-06-21 16:58:28,2.0,14.43,,,
000651.XSHE,2006-01-10,国信证券,17.6550,,1,1,2025-05-15 17:15:18,2006-01-10 16:02:14,1.0,,,,
000651.XSHE,2006-01-12,海通证券,13.4420,,3,1,2025-05-15 17:14:28,2006-01-13 17:50:31,3.0,,,,
000651.XSHE,2006-01-15,兴业证券,17.8350,,1,3,2025-05-15 17:15:49,2006-01-16 17:51:25,1.0,,,1.0,
000651.XSHE,2006-01-17,国泰海通证券,17.6400,,1,1,2025-05-15 17:16:02,2006-01-19 14:14:37,1.0,,,,
000651.XSHE,2006-01-23,国信证券,16.0000,M06,1,1,2025-05-15 04:08:44,2007-01-12 16:10:50,1.0,16.0,,,
000651.XSHE,2006-01-23,华泰证券,15.4310,,2,1,2025-05-15 17:14:32,2006-01-24 18:17:40,2.0,,,,
000651.XSHE,2006-02-10,兴业证券,17.8350,,1,3,2025-05-15 17:14:54,2006-02-11 11:05:38,2.0,,,1.0,
000651.XSHE,2006-02-16,国信证券,18.5400,,1,1,2025-05-15 17:14:56,2006-02-16 16:02:25,1.0,,,,
