order_book_id,date,fiscal_year,report_period,report_range,profit_chg_1w,profit_chg_1w_rank,profit_chg_1w_sco,profit_chg_2w,profit_chg_2w_rank,profit_chg_2w_sco,profit_chg_1m,profit_chg_1m_rank,profit_chg_1m_sco,profit_chg_2m,profit_chg_2m_rank,profit_chg_2m_sco,profit_chg_3m,profit_chg_3m_rank,profit_chg_3m_sco,op_reven_chg_1w,op_reven_chg_1w_rank,op_reven_chg_1w_sco,op_reven_chg_2w,op_reven_chg_2w_rank,op_reven_chg_2w_sco,op_reven_chg_1m,op_reven_chg_1m_rank,op_reven_chg_1m_sco,op_reven_chg_2m,op_reven_chg_2m_rank,op_reven_chg_2m_sco,op_reven_chg_3m,op_reven_chg_3m_rank,op_reven_chg_3m_sco,ty_est_dev,ty_est_dev_rank,ty_est_dev_sco,est_em_bic_sco,est_em_non_bic_sco,grd_em_1m,grd_em_1m_rank,grd_em_1m_sco,grd_em_2m,grd_em_2m_rank,grd_em_2m_sco,grd_em_3m,grd_em_3m_rank,grd_em_3m_sco,targ_price_space,targ_price_space_rank,targ_price_space_sco,grd_em_sco,ana_em_bic_sco,ana_em_non_bic_sco
000333.XSHE,2016-01-04,2015,q4,1,0.0015,266,87.0542,-0.0024,1670,17.6616,-0.0037,1439,27.6296,0.0043,454,75.8142,0.001,498,73.394,-0.0036,1603,6.2061,-0.0019,1470,12.1411,-0.0077,1292,20.4069,-0.0223,1063,29.2,-0.0574,1014,30.0414,-0.0018,1384.0,35.7641,44.408,50.6103,0.04,489,72.4294,0.06,555,66.4852,0.06,585,64.4769,0.2693,1042,43.7905,68.4612,46.4402,47.6807
000333.XSHE,2016-01-04,2015,q4,3,0.0015,226,89.0083,-0.0024,1686,16.7901,-0.0037,1448,27.0665,-0.0019,1027,45.1923,0.0014,490,73.7942,-0.0036,1602,5.8789,-0.0019,1458,12.7545,-0.0077,1266,21.6233,-0.0182,1003,32.9317,-0.06,1026,29.0166,-0.0017,1384.0,35.7342,37.1409,41.3159,0.04,485,72.5779,0.06,544,67.071,0.0,655,60.122,0.2765,1051,43.2432,67.884,44.6982,45.5332
000333.XSHE,2016-01-04,2016,q4,1,0.0029,322,84.7143,-0.0021,1662,20.0289,-0.0065,1456,28.3604,-0.0102,1170,38.9875,0.0002,691,63.8554,-0.005,1619,5.711,-0.0055,1517,9.7619,-0.0119,1335,18.1093,-0.0308,1107,26.6092,-0.0763,1085,25.1898,-0.0034,1219.0,42.79,34.6689,39.0671,0.04,492,72.9626,0.06,561,67.0394,0.06,594,64.9112,0.2693,1064,44.0821,68.983,46.792,47.6717
000333.XSHE,2016-01-04,2016,q4,3,0.0029,268,87.2736,-0.0021,1677,19.2289,-0.0065,1448,28.5432,-0.002,972,49.242,0.0021,656,65.6529,-0.005,1620,5.2662,-0.0055,1508,10.1907,-0.0119,1317,18.7654,-0.0265,1070,28.7333,-0.0805,1096,24.169,-0.0028,1200.0,43.5765,37.4642,42.474,0.04,488,73.0939,0.06,549,67.6505,0.0,664,60.6295,0.2765,1072,43.5722,68.4237,47.3222,48.3242
000333.XSHE,2016-01-04,2017,q4,1,0.0133,153,91.9958,0.008,275,85.3632,0.0106,381,79.0287,0.0143,465,72.5606,0.0319,392,76.1294,-0.0079,1549,5.6098,-0.0099,1463,8.796,-0.0182,1307,15.8505,-0.0419,1073,24.6132,-0.094,1026,24.2424,-0.0072,1322.0,31.8369,66.654,79.362,0.04,478,71.8418,0.06,537,66.2469,0.06,557,64.631,0.2693,1004,43.0114,68.1617,49.4176,51.9592
000333.XSHE,2016-01-04,2017,q4,3,0.0133,122,93.6148,0.008,242,87.0916,0.0106,379,79.0349,0.0117,489,70.9524,0.027,411,74.862,-0.0079,1544,5.5113,-0.0099,1454,9.1307,-0.0182,1291,16.3966,-0.0368,1034,26.8931,-0.0993,1040,22.8083,-0.0057,1289.0,33.2297,66.6394,79.2622,0.04,474,71.9953,0.06,526,66.8561,0.0,627,60.0765,0.2765,1006,42.8328,67.5559,49.6578,52.1824
000333.XSHE,2016-01-05,2015,q4,1,0.0015,260,87.3966,-0.0024,1677,17.6817,-0.0037,1415,28.8016,0.0011,605,67.821,0.001,499,73.3405,-0.0036,1615,6.2718,-0.0019,1480,12.069,-0.0077,1284,20.8513,-0.0177,1039,31.0299,-0.0574,1013,30.0622,-0.0018,1303.0,37.3436,42.8888,48.5968,0.04,499,71.8644,0.06,551,66.8675,0.06,581,64.7845,0.2041,1406,24.4217,68.4497,40.7973,41.9389
000333.XSHE,2016-01-05,2015,q4,3,0.0015,265,87.1282,-0.0024,1685,17.0852,-0.0037,1433,27.7862,0.0027,523,72.16,0.0014,495,73.5263,-0.0036,1617,5.7726,-0.0019,1471,12.1864,-0.0077,1260,21.9467,-0.0128,936,37.4163,-0.06,1027,28.9965,-0.0018,1309.0,36.9639,43.8258,49.4664,0.04,496,71.9547,0.06,546,67.0097,0.0,659,59.9269,0.2041,1410,23.9611,67.5711,40.5569,41.685
000333.XSHE,2016-01-05,2016,q4,1,0.0029,302,85.7346,-0.0021,1672,19.9329,-0.0065,1435,29.3944,-0.0147,1269,34.0271,0.0002,691,63.8743,-0.005,1628,5.9538,-0.0055,1529,9.5858,-0.0119,1328,18.4889,-0.0239,1079,28.7037,-0.0763,1084,25.2072,-0.0035,1230.0,42.3546,33.8967,37.9739,0.04,502,72.4422,0.06,558,67.3697,0.06,591,65.1712,0.2041,1439,24.712,68.959,40.6911,41.5066
000333.XSHE,2016-01-05,2016,q4,3,0.0029,293,86.1151,-0.0021,1685,19.0774,-0.0065,1436,29.1358,-0.0114,1199,37.4739,0.0021,657,65.6184,-0.005,1635,5.1654,-0.0055,1520,9.6908,-0.0119,1315,18.8388,-0.0187,1007,32.9333,-0.0805,1100,23.9446,-0.0035,1233.0,42.1053,34.8003,38.9717,0.04,499,72.5317,0.06,553,67.4912,0.0,669,60.4265,0.2041,1444,24.2122,68.0945,40.4742,41.3085
000333.XSHE,2016-01-05,2017,q4,1,0.0133,144,92.517,0.008,269,85.7674,0.0106,391,78.4887,0.0075,551,67.628,0.0319,398,75.8222,-0.0079,1560,5.8575,-0.0099,1467,9.226,-0.0182,1298,16.4304,-0.0326,1047,26.8531,-0.094,1028,24.0946,-0.0073,1334.0,31.5357,65.5564,77.8224,0.04,489,71.2603,0.06,535,66.5832,0.06,555,64.8923,0.2041,1348,23.8553,68.1159,43.3518,45.805
000333.XSHE,2016-01-05,2017,q4,3,0.0133,139,92.7559,0.008,278,85.2345,0.0106,397,78.0488,0.004,607,64.0782,0.027,423,74.2054,-0.0079,1559,5.4612,-0.0099,1457,9.2835,-0.0182,1286,16.7207,-0.026,986,30.3395,-0.0993,1043,22.7003,-0.0073,1322.0,31.7665,64.4851,76.3811,0.04,486,71.3526,0.06,530,66.7296,0.0,633,59.822,0.2041,1352,23.4561,67.1973,42.9033,45.2825
