order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,half_year_target_price,quarter_recommendation,one_year_target_price,half_year_recommendation,one_year_recommendation
000792.XSHE,2012-01-02,兴业证券,,,2,1,2012-01-04 15:10:15,2012-01-04 15:10:15,,2.0,,,
000792.XSHE,2012-01-03,光大证券,,,1,1,2012-01-05 13:23:49,2012-01-05 13:23:49,,1.0,,,
000792.XSHE,2012-01-04,德邦证券,,,2,1,2012-01-04 15:10:15,2012-01-04 15:10:15,,2.0,,,
000792.XSHE,2012-01-04,中信证券,,,1,1,2012-01-05 17:42:57,2012-01-05 17:42:57,,1.0,,,
000792.XSHE,2012-01-04,国信证券,,,1,1,2012-01-04 20:48:30,2012-01-04 20:48:30,,1.0,,,
000792.XSHE,2012-01-04,民生证券,,,1,1,2012-01-05 17:42:57,2012-01-05 17:42:57,,1.0,,,
000792.XSHE,2012-01-04,中金公司,,,1,1,2012-01-04 15:10:15,2012-01-04 15:10:15,,1.0,,,
000792.XSHE,2012-01-04,天相投顾,,,2,1,2012-01-05 17:42:57,2012-01-05 17:42:57,,2.0,,,
000792.XSHE,2012-01-05,民生证券,,,1,1,2012-01-06 17:09:39,2012-01-06 17:09:39,,1.0,,,
000792.XSHE,2012-01-05,民族证券,46.5400,M06,1,1,2012-01-06 15:36:47,2012-01-06 15:36:47,46.54,1.0,,,
000792.XSHE,2012-01-06,华泰联合,,,2,1,2012-01-07 10:42:28,2012-01-07 10:42:28,,2.0,,,
000792.XSHE,2012-01-09,光大证券,,,1,1,2012-01-10 16:23:36,2012-01-10 16:23:36,,1.0,,,
000792.XSHE,2012-01-09,兴业证券,,,2,1,2012-01-09 16:42:53,2012-01-09 16:42:53,,2.0,,,
000792.XSHE,2012-01-09,国信证券,,,1,1,2012-01-09 14:29:00,2012-01-09 14:29:00,,1.0,,,
000792.XSHE,2012-01-09,中金公司,,,1,1,2012-01-09 15:10:37,2012-01-09 15:10:37,,1.0,,,
000792.XSHE,2012-01-11,光大证券,,,1,1,2012-01-12 11:38:37,2012-01-12 11:38:37,,1.0,,,
